complaint_id,date_received,district_occurrence,general_cap_classification,summary
16-0048,2016-01-29,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-26-16 at 5:30pm, they were stopped for investigation by officers assigned to the 14th District. The complainant noticed personal property missing after the conclusion of investigation."
16-0049,2016-02-04,0200,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-26-16 at 4:00pm, they were verbally abused by an off duty corporal assigned to the 24th District."
16-0050,2016-02-02,3500,LACK OF SERVICE,"According to the complainant, on 1-15-16 at 8:20pm, they did not receive proper service from officers and a sergeant assigned to the 35th District."
16-0051,2016-01-29,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-26-16 at 12:43am, officers assigned to the 3rd District did not follow proper procedures."
16-0052,2016-02-02,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-2-15 at 7:30pm, they were verbally abused during a search of their residence by officers assigned to the 15th District."
16-0053,2016-02-03,2200,LACK OF SERVICE,"According to the complainant, on 1-22-16 at 2:00pm, they did not receive proper service from officers assigned to the 22nd District."
16-0054,2016-02-11,1200,NON-INVESTIGATORY INCIDENT,"According to the complainant, in May of 2015, they were falsely arrested and did not receive proper service from officers assigned to the 12th District."
16-0055,2016-02-03,1500,LACK OF SERVICE,"According to the complainant, on 10-15-15 at 8:30pm, they did not receive proper service from a detective assigned to Northeast Detective Division."
16-0056,2016-02-04,1800,LACK OF SERVICE,"According to the complainant, on 1-26-16, they did not receive proper service from a detective assigned to Southwest Detective Division."
16-0057,2016-02-04,1200,PHYSICAL ABUSE,"According to the complainant, on 1-28-16 at 7:48pm, their family member was physically abused by officers assigned to the 12th District."
16-0058,2016-02-10,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-28-16 at 1:00am, they were verbally abused and falsely arrested by a sergeant assigned to the 19th District."
16-0059,2016-02-12,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-28-16 at 1:00am, they were verbally abused and falsely arrested by a sergeant assigned to the 19th District."
16-0060,2016-02-12,0800,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-29-16 at 2:00pm, they were improperly issued a parking citation by an officer assigned to the 8th District."
16-0061,2016-02-04,1700,VERBAL ABUSE,"According to the complainant, on 1-31-16 at 2:20am, they were verbally abused by a sergeant assigned to the 17th District."
16-0062,2016-02-04,1200,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-28-16 at 7:48pm their family member was physically abused by officers assigned to the 12th District."
16-0063,2016-02-09,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-29-16 at 4:25pm, officers assigned to the 25th District did not follow proper police procedure."
16-0064,2016-02-09,0200,PHYSICAL ABUSE,"According to the complainant, on 1-26-16 at 1:21pm, their family member was physically and verbally abused by officers assigned to the 2nd District."
16-0065,2016-02-09,0800,LACK OF SERVICE,"According to the complainant, on 1-16-16 at 9:30pm, they did not receive proper service from a sergeant assigned to the 8th District."
16-0066,2016-02-09,2500,PHYSICAL ABUSE,"According to the complainant, on 1-28-16, they were physically abused by officers assigned to the 25th District."
16-0067,2016-02-09,0300,VERBAL ABUSE,"According to the complainant, on 1-18-16 at 11:20pm, they were verbally abused by officers assigned to the 3rd District."
16-0068,2016-02-09,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-14-16 at 4:00pm, officers assigned to the 15th District did not follow proper police procedure."
16-0069,2016-02-09,2500,LACK OF SERVICE,"According to the complainant, on 1-30-16, they did not receive proper service from officers assigned to the 25th District."
16-0070,2016-02-09,0100,PHYSICAL ABUSE,"According to the complainant, on 2-2-16 at 9:30pm, they were physically and verbally abused by officers assigned to the 35th District."
16-0071,2016-02-09,1900,LACK OF SERVICE,"According to the complainant, on 1-22- at 7:00am, they did not receive proper service from a sergeant assigned to the 19th District."
16-0072,2016-02-12,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-22-14 at 7:49am, officers assigned to the 2nd District did not follow proper police procedure."
16-0073,2016-02-10,2500,LACK OF SERVICE,"According to the complainant, on 5-21-15, they did not receive proper service from an officer and a sergeant assigned to the Special Victims Unit."
16-0074,2016-02-10,1900,VERBAL ABUSE,"According to the complainant, on 1-31-16 at 1:55am, they were verbally abused by detectives assigned to Southwest Detective Division."
16-0075,2016-02-18,1200,VERBAL ABUSE,"According to the complainant, on 1-13-16 at 5:50pm, they were harassed by officers assigned to the 12th District."
16-0076,2016-02-12,0800,VERBAL ABUSE,"According to the complainant, on 12-14-15 at 11:00pm, they were verbally abused by officers assigned to the 8th District."
16-0077,2016-02-12,1700,LACK OF SERVICE,"According to the complainant, on 1-31-16 at 7:10pm, they did not receive proper service from officers and a sergeant assigned to the 17th District."
16-0078,2016-02-16,2600,PHYSICAL ABUSE,"According to the complainant, on 2-18-16 at 6:05pm, they were physically and verbally abused by an officer assigned to the 26th District."
16-0079,2016-02-17,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-4-15 at 6:00pm, after being released from police custody they found that they are missing property. This incident occurred with in the confines of the 6th District."
16-0080,2016-02-17,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-6-16 between 4-6pm, after being released from police custody their belongings were not returned. This incident occurred within the confines of the 9th District."
16-0081,2016-02-22,2500,LACK OF SERVICE,"According to the complainant, they did not receive proper service from a police lieutenant assigned to the 25th District."
16-0082,2016-02-18,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-15 at 8:30am, they were harassed by an officer assigned to the Highway Patrol Unit who did not follow police procedures."
16-0083,2016-02-22,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-16 at 11:30am, their residence was improperly entered by a sergeant and officers assigned to the 35th District."
16-0084,2016-02-24,3500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 2-11-16 at 11:30am, their residence was improperly entered and their was damage to their property. This search was conducted by officers assigned to the 35th District."
16-0085,2016-02-22,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-18-16 at 8:10am, they were treated unprofessionally by officers and did not receive proper service from a supervisor assigned to the 12th District."
16-0086,2016-02-22,1800,PHYSICAL ABUSE,"According to the complainant they were harassed, physically and verbally abused by officers assigned to the 18th District."
16-0087,2016-02-23,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-14-16, a sergeant and an officer assigned to the 22nd District violated departmental policies."
16-0088,2016-02-23,0200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-18-16 around 9:00am, they were harassed by an off-duty officer assigned to the 2nd District."
16-0089,2016-02-23,2500,DEPARTMENTAL VIOLATIONS,According to the complainant they were falsely arrested by a detective assigned to East Detective Division.
16-0090,2016-02-23,1400,VERBAL ABUSE,"According to the complainant they were harassed, threatened, and not provided proper services by officers assigned to the 14th District."
16-0091,2016-02-22,2300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-12-16, they were illegally searched and verbally abused by an officer assigned to the 22nd District."
16-0092,2016-03-07,3500,VERBAL ABUSE,"According to the complainant, on 2-13-16, they were verbally abused and threatened by an officer assigned to Internal Affairs."
16-0093,2016-02-25,3500,LACK OF SERVICE,"According to the complainant, on 12-11-15, they did not receive proper service from an officer assigned to the 35th District."
16-0094,2016-02-25,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-16, they were harassed along with their family member by an off-duty school crossing guard. This incident occurred in confines of the 14th District."
16-0095,2016-03-01,1800,HARASSMENT,"According to the complainant, in February 2015, they were harassed by an officer assigned to the 18th District."
16-0096,2016-03-01,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-21-16, they were physically abused, improperly searched, and racially profiled by officers assigned to the 19th District."
16-0097,2016-03-01,0900,VERBAL ABUSE,"According to the complainant, on 1-15-16, they witnessed an officer assigned to the 17th District conducting themselves in an unprofessional manner."
16-0098,2016-03-01,0900,PHYSICAL ABUSE,"According to the complainant, on 2-12-16, they were treated unprofessionally by an officer assigned to the 9th District."
16-0099,2016-02-29,0200,LACK OF SERVICE,"According to the complainant, on 1-30-16, they did not receive proper service from an officer assigned to the 2nd District."
16-0100,2016-03-01,0300,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 8-9-15, their family members property was not returned to them following a fatal auto accident. This incident occurred in the confines of the 3rd District."
16-0101,2016-03-01,2400,PHYSICAL ABUSE,"According to the complainant, on 2-24-16, they were physically and verbally abused by officers assigned to the 24th District."
16-0102,2016-03-01,0700,VERBAL ABUSE,"According to the complainant, on 2-20-16, they were treated unprofessionally by an officer assigned to the 7th District."
16-0103,2016-03-03,1800,DOMESTIC,"According to the complainant, on 2-21-16, they were harassed by an officer assigned to the 18th District."
16-0104,2016-03-03,2200,CRIMINAL ALLEGATION,"According to the complainant, since October 2015, they have been harassed by an off-duty officer assigned to the 22nd District."
16-0105,2016-03-03,0900,LACK OF SERVICE,"According to the complainant, on 2-22-16, they did not receive proper service from an officer assigned to the 9th District."
16-0106,2016-03-03,1400,VERBAL ABUSE,"According to the complainant, on 2-20-16, they were verbally abused by an officer assigned to the 14th District."
16-0107,2016-03-03,0700,LACK OF SERVICE,"According to the complainant, on 1-3-16, an officer assigned to the 7th District violated departmental policies."
16-0108,2016-03-03,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-23-16, they were improperly detained by a detective assigned to Northeast Detective Division."
16-0109,2016-03-03,2600,LACK OF SERVICE,"According to the complainant, on 1-28-16, they did not receive proper service from officers assigned to the 26th District."
16-0110,2016-03-03,0200,HARASSMENT,"According to the complainant, on 2-18-16, they were threatened by an officer assigned to the 16th District."
16-0111,2016-03-03,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-22-16 at 6:00pm, a lieutenant assigned to the 15th District did not follow proper police procedure."
16-0112,2016-03-03,0900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-2-16 at 5:20pm, a lieutenant assigned to the 9th District did not follow proper police procedure."
16-0113,2016-03-07,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-15-16 at 8:23am, their residence was improperly entered by officers assigned to the 19th District."
16-0151,2016-03-23,1600,VERBAL ABUSE,"According to the complainant, on 03-15-16 at 7:00pm, they were verbally abused by officers assigned to the 16th District."
16-0114,2016-03-14,2200,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 2-27-16 at 1:34pm, proper police procedures were not followed by an officer assigned to the 16th District."
16-0115,2016-03-08,2400,VERBAL ABUSE,"According to the complainant, on 2-29-16 at 1:00pm, they were verbally abused by an officer assigned to the 24th District."
16-0116,2016-03-08,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-2-16 at 1:00pm, proper police procedures were not followed by an officer assigned to the Narcotics Field Unit."
16-0117,2016-03-08,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-2-16 at 2:03pm, they were verbally abused and falsely detained by officers assigned to the 25th District."
16-0118,2016-03-10,0600,PHYSICAL ABUSE,"According to the complainant, on 2-27-16 at 12:00pm, they were physically and verbally abused by an officer assigned to the Center City District."
16-0119,2016-03-10,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-3-16 at 8:20pm, they were improperly searched and harassed by officers assigned to the 16th District."
16-0120,2016-03-11,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-6-16 at 10:30pm, they were harassed by officers assigned to the 14th District."
16-0121,2016-03-10,1700,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-22-16 at 9:30pm, they were was improperly searched and harassed by officers assigned to the 18th District."
16-0122,2016-03-11,1700,LACK OF SERVICE,"According to the complainant, on 12-25-15 at 8:19am, they did not receive proper service from personnel assigned to the 17th District."
16-0123,2016-03-11,2500,LACK OF SERVICE,"According to the complainant, on 3-4-16 at 5:30pm, they did not receive proper service from officers assigned to the 25th District."
16-0124,2016-03-11,0900,LACK OF SERVICE,"According to the complainant, on 2-8-16 at 3:00pm, they did not receive proper service from an officer assigned to the Traffic. This incident occurred in the confines of the 9th District."
16-0125,2016-03-11,3900,PHYSICAL ABUSE,"According to the complainant, on 3-2-16 at 7:00pm, they were physically abused by officers assigned to the 39th District."
16-0126,2016-03-11,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-19-16 at 8:00am, personnel assigned to Northwest Detective Division improperly accessed departmental computer systems to obtain and divulge information."
16-0127,2016-03-15,0900,PHYSICAL ABUSE,"According to the complainant, on 2-27-16 at 10:56pm, they were physically and verbally abused by officers assigned to the 9th District."
16-0128,2016-03-14,2500,VERBAL ABUSE,"According to the complainant, on 3-9-16 at 3:55pm, they were verbally abused by an unidentified off duty officer. This incident occurred in the confines of the 25th District."
16-0129,2016-03-15,0300,LACK OF SERVICE,"According to the complainant, on 3-9-16 at 11:55pm, proper police procedure was not followed by officers assigned to the 3rd District."
16-0130,2016-03-15,0900,VERBAL ABUSE,"According to the complainant, on 3-11-16, they were verbally abused and did not receive proper service from a sergeant assigned to Central Detectives."
16-0131,2016-03-15,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-3-16 at 8:30pm, they were improperly searched and harassed by an officer assigned to the 14th District."
16-0132,2016-03-15,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-12-16 at 8:07pm, they were treated unprofessionally by officers assigned to the 14th District."
16-0133,2016-03-15,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-11-16 12:45pm, they were verbally abused and improperly searched by an officer assigned to the 24th District."
16-0134,2016-03-15,0800,PHYSICAL ABUSE,"According to the complainant, on 3-12-16 at 6:30pm, they were physically abused by an off-duty detective assigned to the Criminal Intelligence Unit. This incident occurred in the confines of the 8th District."
16-0135,2016-03-15,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-13-16 at 12:30am, they were physically abused and falsely arrested by an officer assigned to the 22nd District."
16-0136,2016-03-21,1500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 03-11-16 at 2:00am, proper police procedure was not followed by officers assigned to the 15th District."
16-0137,2016-03-21,0800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 03-03-16 at 8:40am, their family member was treated unprofessionally by a sergeant assigned to the 8th District."
16-0138,2016-03-23,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 02-06-16 at 11:45am, their vehicle was improperly searched by an officer assigned to the 14th District."
16-0139,2016-03-22,1500,LACK OF SERVICE,"According to the complainant, on 02-27-16 at 11:30am, they did not receive proper service from officers assigned to the 15th District."
16-0140,2016-03-21,0500,LACK OF SERVICE,"According to the complainant, on 03-07-16 at 9:20am, they did not receive proper service from police radio personnel for an incident that occurred in the confines of the 5th District."
16-0141,2016-03-21,1900,LACK OF SERVICE,"According to the complainant, on 03-08-16 at 9:30pm, they did not receive proper service from officers assigned to the 19th District."
16-0142,2016-03-23,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 03-08-16 at 10:30pm, their residence was improperly entered by unknown officers. This incident occurred in the confines of the 22nd District."
16-0143,2016-03-23,1500,VERBAL ABUSE,"According to the complainant, on 03-07-16 at 8:40pm, they were verbally abused by officers assigned to the 15th District."
16-0144,2016-03-23,1400,VERBAL ABUSE,"According to the complainant, on 02-14-18 at 8:20am, they were threatened by an officer assigned to the 14th District."
16-0145,2016-03-23,3500,LACK OF SERVICE,"According to the complainant, on 03-27-18, they did not receive proper service from the officers assigned to the 35th District."
16-0146,2016-03-23,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 03-06-16 at 3:00am, they were falsely arrested and detained by officers assigned to the 6th District."
16-0147,2016-03-23,1500,LACK OF SERVICE,"According to the complainant, on 02-27-16 at 11:30am,they did not receive proper service from officers assigned to the 15th District."
16-0148,2016-03-23,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 02-16-16 at 6:25am, their residence was improperly entered by officers. This incident occurred in the confines of the 25th District."
16-0149,2016-03-21,1800,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 07-12-15 at 7:54pm, they were falsely arrested by officers assigned to the 18th District."
16-0150,2016-03-23,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 03-17-16 at 12:42pm, they were improperly detained by officers assigned to the 25th District."
16-0152,2016-03-24,2500,PHYSICAL ABUSE,"According to the complainant, on 03-17-16 at 6:20pm, they were harassed and verbally abused by an officer assigned to the 25th District."
16-0153,2016-03-23,1200,LACK OF SERVICE,"According to the complainant, on 03-12-16 at 11:00am, they did not receive proper service from 911 police dispatchers for an incident that occurred in the confines of the 12th District."
16-0154,2016-03-23,1900,LACK OF SERVICE,"According to the complainant, on 02-05-16, they did not receive proper service from an officer assigned to the 19th District."
16-0155,2016-03-28,2500,LACK OF SERVICE,"According to the complainant, on 05-26-15 at 9:00am, they did not receive proper service from an officer assigned to the Traffic District. This incident occurred in the confines of the 25th District."
16-0156,2016-03-28,1800,UNPROFESSIONAL CONDUCT,"According to the complainant, on 03-16-16 at 6:23pm, they were treated unprofessionally by officers assigned to the 18th District."
16-0157,2016-03-28,2400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-11-13, they are missing property after being arrested by officers assigned to Highway Patrol. This incident occurred in the confines of the 24th District."
16-0158,2016-03-24,1200,PHYSICAL ABUSE,"According to the complainant, on 03-09-16 at 7:03pm, they were physically abused by officers assigned to the 12th District and detective assigned to Southwest Detective Division."
16-0159,2016-03-28,0700,UNPROFESSIONAL CONDUCT,"According to the complainant, on 03-18-16 at 9:37am, they were treated unprofessionally by an officer assigned to the 7th District."
16-0160,2016-03-28,0300,UNPROFESSIONAL CONDUCT,"According to the complainant, on 03-21-16 at 10:30am, they were treated unprofessionally by two detectives assigned to the South Detective Division."
16-0161,2016-03-28,1500,LACK OF SERVICE,"According to the complainant, on 3-19-16 at 4:50pm, they did not receive proper service from officers assigned to the 15th District."
16-0162,2016-04-01,2200,LACK OF SERVICE,"According to the complainant, on 3-19-16 at 9:00am, they did not provide proper service from officers assigned to the 22nd District."
16-0163,2016-04-01,1400,HARASSMENT,"According to the complainant, on 3-22-16 at 4:00pm,, they were harassed by an off duty officer assigned to the Safety Office."
16-0164,2016-04-01,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-11-16 at 4:30pm, they were racially profiled by officers assigned to the 19th District."
16-0165,2016-03-31,1400,PHYSICAL ABUSE,"According to the complainant, on 3-23-16 at 11:20am, they were physically abused and are missing property after being arrested by officers assigned to the 14th District."
16-0166,2016-04-06,0300,PHYSICAL ABUSE,"According to the complainant, on 3-25-16 at 10:00pm, they were physically abused by officers assigned to the 3rd District."
16-0167,2016-04-01,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-25-16 at 4:00am, proper procedures were not followed by officers assigned to the 12th District."
16-0168,2016-04-04,2500,LACK OF SERVICE,"According to the complainant, on 8-19-14, they did not receive proper service from an officer assigned to the 25th District, and other members assigned to the Special Victims Unit."
16-0169,2016-04-05,2500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-5-16 at 12:00pm, officers assigned to the 25th District improperly entered their business and acted unprofessionally."
16-0170,2016-04-05,0300,VERBAL ABUSE,"According to the complainant, on 3-29-16, they were verbally abused by the officer assigned to Highway Patrol. This incident occurred in the confines of the 26th District."
16-0171,2016-04-05,0800,LACK OF SERVICE,"According to the complainant, on 3-11-16 at 10:00pm, they did not receive proper service from an officer assigned to the 8th District."
16-0172,2016-04-05,2500,CRIMINAL ALLEGATION,"According to the complainant, an unknown officer assigned to the 25th District is engaged in acts of corruption."
16-0173,2016-04-06,0300,PHYSICAL ABUSE,"According to the complainant, on 3-17-16 at 2:40am, they were physically abused by a sergeant and an officer assigned to the 12th District."
16-0174,2016-04-11,2500,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 4-1-16 at 1:30pm, they were improperly issued a parking violation by an officer assigned to the 24th District."
16-0175,2016-04-07,1200,CRIMINAL ALLEGATION,"According to the complainant, on 3-10-16 at 11:50pm, they were harassed by officers and a sergeant assigned to the 12th District."
16-0176,2016-04-07,3500,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 4-2-16 at 12:30am, they were harassed by officers assigned to the 35th District."
16-0177,2016-04-13,3500,HARASSMENT,"According to the complainant, on 4-6-16 at 6:00am, they were harassed by officers assigned to the 35th District."
16-0178,2016-04-13,2400,PHYSICAL ABUSE,"According to the complainant, on 3-26-16 at 12:00pm, they were physically abused by officers assigned to the 24th District."
